eCommerce-Bedrock/ecom-svc-loyalty/release,898335,1.0,1062290.6,898334.66666667
eCommerce-Bedrock/cart-checkout/release,893542,1.0,1021275,893542.5
eCommerce-Bedrock/vue-component-ecom-paypal/release,892289,1.0,983600.8,892289.33333333
eCommerce-Bedrock/membership-service/release,891785,1.0,891785,891785
eCommerce-Bedrock/web-component-ecom-stores/release,890911,1.0,890911,890911
eCommerce-Bedrock/web-component-ecom-registry/release,879781,1.0,879781,879781
eCommerce-Bedrock/inventory-service/release,874296,1.0,1010580.4,874295.5
eCommerce-Bedrock/oauth-client/release,871336,1.0,975773.8,871336
eCommerce-Bedrock/vue-component-ecom-modal/release,869601,1.0,931453.4,869601
eCommerce-Bedrock/ecom-svc-catalog/release,856809,1.5,872438.8,856809.33333333
eCommerce-Bedrock/ecom-svc-store/release,852143,1.0,1056163.4,852143
eCommerce-Bedrock/event-notification-service/release,845267,1.0,1034963.2,845267.33333333
eCommerce-Bedrock/web-component-ecom-shopping-cart/release,844750,1.0,853941.6,844750.5
eCommerce-Bedrock/registry-admin/release,844072,1.0,1108275.8,844071.66666667
eCommerce-Bedrock/ecom-svc-support/release,836200,1.0,1038188.8,836200
eCommerce-Bedrock/js-ecom-mfe/release,833345,1.0,962653,833344.66666667
eCommerce-Bedrock/web-component-ecom-test/release,831582,1.0,831582,831582
eCommerce-Bedrock/ecom-svc-parent/release,828331,1.0,1081723.4,828330.66666667
eCommerce-Bedrock/ecom-svc-checkout/release,826859,1.2,810142.4,826859.47826087
eCommerce-Bedrock/vue-component-ecom-flags/release,818420,1.0,872751,818419.66666667
eCommerce-Bedrock/ecom-app-phygital/release,810450,3.4,1452841,810450.5
eCommerce-Bedrock/aos-logon-webapp-service/release,809964,1.0,927265,809963.75
eCommerce-Bedrock/vue-component-ecom-brand-logo/release,809808,1.0,932087,809808.33333333
eCommerce-Bedrock/mdm-consumer-service/release,803598,1.0,833140,803597.5
eCommerce-Bedrock/vue-component-ecom-navigation/release,802095,1.0,966311.6,802095
