eCommerce-Rimo/web-component-ecom-checkout/RIMO-5050-1,260621,11.0,260621,260621
eCommerce-Rimo/web-component-ecom-checkout/RIMO-5050,255247,13.9,258912.4,255247
eCommerce-Rimo/dp-baselogic/develop_bkup_29Sept2023,2526430,1.0,2526430,2526430
eCommerce-Muir/ws-shopping-app-ios/develop-feature-split-pip,2523434,4.6,2669789,2523434
eCommerce-Kangto/dp-baselogic/TCE-25328-2316,2519476,1.0,2519476,2519476
eCommerce-Calinga/ecom-app-global/RIMO-5130,2515274,1.0,2515274,2515274
eCommerce-Muir/ws-shopping-app-ios/develop,2495499,6.8,2514531.2,2495498.5757576
eCommerce-Muir/ws-shopping-app-ios/release-6.7.1,2341129,5.0,2430108,2341129.3333333
eCommerce-Ishbel/ecom-app-shop/RM-37866-rls,2307192,4.0,2921613,2307191.8571429
eCommerce-Castle/ecom-app-shop/CASL-2533,2306026,2.0,2473016,2306025.5
eCommerce-Calinga/ecom-app-shop/develop,2234684,1.0,2371272.6,2234683.5
eCommerce-Fuya/ecom-app-product/redirect-nla,2221179,1.0,2221179,2221179
eCommerce-Castle/ecom-app-product/RM-37961-16.35.x,2216514,3.0,2216514,2216514
eCommerce-Calinga/ecom-app-product/develop,2179534,1.0,2179534,2179534
eCommerce-Ishbel/ecom-app-product/ISH-2467_feature-bv,2161192,1.0,2161192,2161192
eCommerce-Denali/ecom-app-shop/develop,2146595,3.2,2211964.8,2146595.0333333
eCommerce-Denali/ecom-app-shop/PM-17954-image,2139726,1.0,2139726,2139726
eCommerce-Ishbel/ecom-app-product/ISH-2476_env-qa36,2133467,5.3,2133467,2133467
eCommerce-Rimo/inventory/develop,2114132,1.0,2114132,2114132
eCommerce-Fuya/ecom-app-shop/PM-17994,2102584,2.0,2492346.6,2102584.5
eCommerce-Marcy/ecom-app-shop/TACO-4057-100323,2095746,1.0,2095746,2095746
eCommerce-Castle/ecom-app-product/CASL-2519,2068661,4.4,2236179.2,2068660.6
eCommerce-Ishbel/ecom-app-product/feature-enable-bazaarvoice,2052411,5.1,2267808.4,2052411.2
eCommerce-Kalanka/ecom-svc-customer/RM-37394,2048757,2.0,2048757,2048757
eCommerce-Ramen/ecom-app-shop/develop,2041393,2.3,2330858.6,2041393
eCommerce-Marcy/ecom-app-global/PERF-119,1954533,5.3,2917762.8,1954533.375
eCommerce-Denali/ecom-app-shop/PM-18240-R,1928886,3.0,2480551,1928886
eCommerce-Marcy/ecom-app-product/KIMCHI-2003-update,1925024,1.0,1925024,1925024
eCommerce-Muir/ws-shopping-app-ios/release-to-bedrock,1920532,1.0,1920532,1920532
eCommerce-Ramen/ecom-app-product/release_backup_20thSept23,1914103,1.0,1914103,1914103
eCommerce-Fengari/ecom-svc-customer/develop,1903275,1.0,1903275,1903275
eCommerce-Pinchot/ecom-app-content/qa22-console-logger,1899273,1.0,1899273,1899273
eCommerce-MontBlanc/ecom-app-global/SPIC-155-Logical-revert-for-OpenTelemetry-changes,1897523,1.0,1897523,1897523
eCommerce-Ishbel/ecom-app-product/RM-37839-16.26,1892826,1.0,1892826,1892826
eCommerce-Marcy/ecom-app-shop/TACO-4072-rls,1889021,4.0,1938688,1889021
eCommerce-Castle/ecom-app-shop/bye-bye-pixlee,1885854,5.9,2089297.2,1885854.2857143
eCommerce-Marcy/ecom-app-product/KIMCHI-2273,1880186,3.0,1948889.4,1880185.5
eCommerce-Boyne/ecom-app-product/rm-37884-release-16.35.x,1860106,1.7,1966493,1860106
eCommerce-Denali/ecom-app-shop/split-pip,1859735,3.0,2091242,1859735
eCommerce-Marcy/ecom-app-product/KIMCHI-2192-Open-Telemetry-for-release,1850022,3.4,1987148.4,1850022
eCommerce-Boyne/ecom-app-global/pm-17728-jumbled-images,1848021,1.0,1848021,1848021
eCommerce-Nuptse/ecom-app-shop/SPIC-107,1847052,4.0,1847052,1847052
eCommerce-Denali/ecom-app-shop/DENALI-7337,1817971,2.7,1869769.4,1817971.3333333
eCommerce-Rimo/ecom-svc-catalog-webapp/develop,1812664,3.0,1812664,1812664
eCommerce-Ramen/ecom-app-product/develop,1775372,3.2,1995157.4,1775372
eCommerce-Wallaroo/ecom-app-product/PERF-142,1764868,1.4,1866834.4,1764868
eCommerce-Ishbel/ecom-app-product/ISH-2467,1743698,2.8,1743698,1743698
