eCommerce-Bedrock/action-code-service/release,20230909010038,199,,success,440945
eCommerce-Bedrock/action-code-service/release,20230917010419,200,,success,613051
eCommerce-Bedrock/action-code-service/release,20230925010421,201,,success,629451
eCommerce-Bedrock/action-code-service/release,20231003010323,202,,success,753133
eCommerce-Bedrock/aos-authentication-service/release,20230913010337,200,,success,601007
eCommerce-Bedrock/aos-authentication-service/release,20230921010605,201,,success,1355685
eCommerce-Bedrock/aos-authentication-service/release,20230929010319,202,,failure,816186
eCommerce-Bedrock/aos-authentication-service/release,20231007010017,203,,failure,458074
eCommerce-Bedrock/aos-authentication-webapp-service/release,20230913010337,242,,failure,474191
eCommerce-Bedrock/aos-authentication-webapp-service/release,20230921010608,243,,success,979877
eCommerce-Bedrock/aos-authentication-webapp-service/release,20230929010320,244,,success,815569
eCommerce-Bedrock/aos-authentication-webapp-service/release,20231007010017,245,,success,541876
eCommerce-Bedrock/aos-login-service/release,20230913010339,187,,failure,595633
eCommerce-Bedrock/aos-login-service/release,20230921010608,188,,success,1390206
eCommerce-Bedrock/aos-login-service/release,20230929010320,189,,success,473573
eCommerce-Bedrock/aos-login-service/release,20231007010017,190,,failure,637096
eCommerce-Bedrock/aos-logon-webapp-service/release,20230913010340,199,,success,648799
eCommerce-Bedrock/aos-logon-webapp-service/release,20230921010618,200,,success,1344964
eCommerce-Bedrock/aos-logon-webapp-service/release,20230929010322,201,,success,619279
eCommerce-Bedrock/aos-logon-webapp-service/release,20231007010017,202,,success,626813
eCommerce-Bedrock/application-configuration-service/release,20230915010214,199,,success,1040806
eCommerce-Bedrock/application-configuration-service/release,20230923010622,200,,success,599710
eCommerce-Bedrock/application-configuration-service/release,20231001010548,201,,success,1074055
eCommerce-Bedrock/avs-service/release,20230915010214,207,,failure,809247
eCommerce-Bedrock/avs-service/release,20230923010627,208,,success,658485
eCommerce-Bedrock/avs-service/release,20231001010549,209,,failure,1006441
eCommerce-Bedrock/b2b-app-product-finding-config/release,20230916010135,137,,success,483142
eCommerce-Bedrock/b2b-app-product-finding-config/release,20230921091533,138,,success,272312
eCommerce-Bedrock/b2b-app-product-finding-config/release,20230921092330,139,,success,2638101
eCommerce-Bedrock/b2b-app-product-finding-config/release,20230929010324,140,,success,293298
eCommerce-Bedrock/b2b-app-product-finding-config/release,20231007010017,141,,success,272855
eCommerce-Bedrock/b2b-app-product-finding/release,20230916010134,125,,failure,145805
eCommerce-Bedrock/b2b-app-product-finding/release,20230921090631,126,,success,43721
eCommerce-Bedrock/b2b-app-product-finding/release,20230921091157,127,,success,944707
eCommerce-Bedrock/b2b-app-product-finding/release,20230929010322,128,,failure,44619
eCommerce-Bedrock/b2b-app-product-finding/release,20231007010017,129,,failure,82803
eCommerce-Bedrock/business-sales-connector-service/release,20230913010342,224,,failure,720318
eCommerce-Bedrock/business-sales-connector-service/release,20230921010651,225,,success,1449057
eCommerce-Bedrock/business-sales-connector-service/release,20230929010324,226,,success,943481
eCommerce-Bedrock/business-sales-connector-service/release,20231007010017,227,,success,773337
eCommerce-Bedrock/c3-client/release,20230912010323,205,,failure,203115
eCommerce-Bedrock/c3-client/release,20230920010158,206,,failure,423008
eCommerce-Bedrock/c3-client/release,20230928010641,207,,failure,20075
eCommerce-Bedrock/c3-client/release,20231006010247,208,,failure,463792
eCommerce-Bedrock/c3-service/release,20230908164302,256,,success,1213007
eCommerce-Bedrock/c3-service/release,20230912130633,257,,success,1217947
eCommerce-Bedrock/c3-service/release,20230920010159,258,,success,1941531
eCommerce-Bedrock/c3-service/release,20230928010641,259,,failure,20074
eCommerce-Bedrock/c3-service/release,20231003085657,260,,unstable,1411427
eCommerce-Bedrock/cart-checkout/release,20230914010120,429,,success,1106430
eCommerce-Bedrock/cart-checkout/release,20230922011100,430,,failure,621201
eCommerce-Bedrock/cart-checkout/release,20230930010304,431,,failure,415585
eCommerce-Bedrock/cart-checkout/release,20231008010206,432,,success,680655
eCommerce-Bedrock/cassandra-support/release,20230913010344,193,,success,427490
eCommerce-Bedrock/cassandra-support/release,20230921010659,194,,success,887950
eCommerce-Bedrock/cassandra-support/release,20230929010324,195,,success,684190
eCommerce-Bedrock/cassandra-support/release,20231007010017,196,,success,359428
eCommerce-Bedrock/code-generation-service/release,20230913010344,198,,success,626442
eCommerce-Bedrock/code-generation-service/release,20230921010711,199,,success,1381713
eCommerce-Bedrock/code-generation-service/release,20230929010325,200,,success,830748
eCommerce-Bedrock/code-generation-service/release,20231007010017,201,,failure,637095
eCommerce-Bedrock/content-personalization-service/release,20230909010038,203,,success,733559
eCommerce-Bedrock/content-personalization-service/release,20230917010422,204,,success,651122
eCommerce-Bedrock/content-personalization-service/release,20230925010421,205,,success,1015217
eCommerce-Bedrock/content-personalization-service/release,20231003010325,206,,success,756268
eCommerce-Bedrock/contentprocessor/release,20230910010026,71,,failure,147688
eCommerce-Bedrock/contentprocessor/release,20230918010346,72,,failure,522392
